"unit","qudtUri","TotalUses","pseudounit","qudtUnit"
"milliequivalentsper100grams",NA,1,"milliequivalentsper100gram","milliequivalents-PER-100-GM"
"milliequivalentsofchargeper100gram",NA,1,"milliequivalentsofchargeper100gram","milliequivalentsofcharge-PER-100-GM"
"milliequivalentpergram",NA,1,"milliequivalentpergram","milliequivalent-PER-GM"
"milliequivalentpergram",NA,1,"milliequivalentpergram","milliequivalent-PER-GM"
"milliequiv/l",NA,1,"milliequivperliter","milliequiv-PER-L"
"millibar","http://qudt.org/vocab/unit/MilliBAR",1,"millibar","MilliBAR"
"milliamps",NA,1,"milliamps","milliamps"
"milli siemens per square centimeter",NA,1,"millisiemenspersquarecentimeter","MilliS-PER-CentiM2"
"milli moles per liter","http://qudt.org/vocab/unit/MilliMOL-PER-L",1,"millimoleperliter","MilliMOL-PER-L"
"milli-equivalent per liter",NA,1,"milli-equivalentperliter","Milliequivalent-PER-L"
"millgramsperkilogram",NA,1,"millgramperkilogram","mill-GM-PER-KiloGM"
"millgramsperkilogram",NA,1,"millgramperkilogram","mill-GM-PER-KiloGM"
"millgrams of hydrocarbon per gram of rock",NA,1,"millgramofhydrocarbonpergramofrock","mill-GM-ofhydrocarbon-PER-GM-ofrock"
"millgram of element per kilogram of soil",NA,1,"millgramofelementperkilogramofsoil","mill-GM-ofelement-PER-KiloGM-ofsoil"
"millgram of element per gram of material per day",NA,1,"millgramofelementpergramofmaterialperday","mill-GM-ofelement-PER-GM-ofmaterial-DAY"
"millboro shale",NA,1,"millboroshale","millboroshale"
"mill site",NA,1,"millsite","millsite"
"mill river (nh)",NA,1,"millriver(nh)","millriver"
"milivoltspercentimeter",NA,1,"milivoltpercentimeter","MilliV-PER-CentiM"
"milivoltspercentimeter",NA,1,"milivoltpercentimeter","MilliV-PER-CentiM"
"milivolts","http://qudt.org/vocab/unit/MilliV",1,"milivolt","MilliV"
"milimeterperyear","http://qudt.org/vocab/unit/MilliM-PER-YR",1,"milimeterperyear","MilliM-PER-YR"
"milimeterperday","http://qudt.org/vocab/unit/MilliM-PER-DAY",1,"milimeterperday","MilliM-PER-DAY"
"miligramspersquaremeterperday","http://qudt.org/vocab/unit/MilliGM-PER-M2-DAY",1,"miligrampersquaremeterperday","MilliGM-PER-M2-DAY"
"miligramsperliterperday",NA,1,"miligramperliterperday","MilliGM-PER-L-DAY"
"miligramsperkilogram","http://qudt.org/vocab/unit/MilliGM-PER-KiloGM",1,"miligramperkilogram","MilliGM-PER-KiloGM"
"miligramsperkilogram","http://qudt.org/vocab/unit/MilliGM-PER-KiloGM",1,"miligramperkilogram","MilliGM-PER-KiloGM"
"miligrampermililiter",NA,1,"miligrampermililiter","MilliGM-PPTH-i-L"
"miligram per kilogram","http://qudt.org/vocab/unit/MilliGM-PER-KiloGM",1,"miligramperkilogram","MilliGM-PER-KiloGM"
"miligram-carbon per square meter per day",NA,1,"miligram-carbonpersquaremeterperday","MilliGM-_Carbon-PER-M2-DAY"
"mili bar","http://qudt.org/vocab/unit/MilliBAR",1,"milibar","MilliBAR"
"milesquared",NA,1,"milequared","MI_US2"
"miles per hour (mph)","http://qudt.org/vocab/unit/MI-PER-HR",1,"mileperhour(mph)","MI-PER-HR"
"miles per hour","http://qudt.org/vocab/unit/MI-PER-HR",1,"mileperhour","MI-PER-HR"
"miles","http://qudt.org/vocab/unit/MI_US",1,"mile","MI_US"
"miillion cubic meters",NA,1,"miillioncubicmeter","miillion-M3"
"middleton island, alaska",NA,1,"middletonisland,alaska","middle-TON_US-island,alaska"
"middle/upper devonian",NA,1,"middleperupperdevonian","middle-PER-up-devonian"
"middle ordovician",NA,1,"middleordovician","middleordovician"
"middle devonian",NA,1,"middledevonian","middledevonian"
"micxromole",NA,1,"micxromole","micxro-MOL"
"microzooplankton",NA,1,"microzooplankton","microzooplank-TON_US"
"microsiemens per centimeter; Ã®Â¼s/cm",NA,1,"microsiemenspercentimeter;Ã®Â¼spercentimeter","MicroS-PER-CentiM-;Ã®Â¼s-CentiM"
"microsiemens per centimeter (us/cm)","http://qudt.org/vocab/unit/MicroS-PER-CentiM",1,"microsiemenspercentimeter(uspercm)","MicroS-PER-CentiM"
"microsiemens is equivalent to 1.0e-6 siemens, the si derived unit of electric conductance equal to inverse ohm",NA,1,"microsiemensisequivalentto1.0e-6siemens,thesiderivedunitofelectricconductanceequaltoinverseohm","MicroS-isequivalentto1-NA-0e-6-S-,thesiderivedunitofelectricconductanceequaltoinverse-OHM"
"microsiemen","http://qudt.org/vocab/unit/MicroS",1,"microsiemen","MicroS"
"microseimenspersquarecentimeter",NA,1,"microseimenpersquarecentimeter","MicroS-PER-CentiM2"
"microseimens","http://qudt.org/vocab/unit/MicroS",1,"microseimen","MicroS"
"microseimenpercentimeter","http://qudt.org/vocab/unit/MicroS-PER-CentiM",1,"microseimenpercentimeter","MicroS-PER-CentiM"
"microseaboss (a.k.a. seabosspro, a.k.a. goproseaboss)",NA,1,"microseaboss(a.k.a.seabosspro,a.k.a.goproseaboss)","microseaboss"
"micros/cm",NA,1,"microspercentimeter","micros-PER-CentiM"
"micropterus dolomieu",NA,1,"micropterusdolomieu","micropterusdolomieu"
"microperus salmoides",NA,1,"microperussalmoides","micro-PER-ussalmoides"
"microohm","http://qudt.org/vocab/unit/MicroOHM",1,"microohm","MicroOHM"
"microns","http://qudt.org/vocab/unit/MicroM3",1,"microns","MicroM3"
"micromolspermetersquaredpersecond","http://qudt.org/vocab/unit/MicroMOL-PER-M2-SEC",1,"micromolspermeterquaredpersecond","MicroMOL-PER-M2-SEC"
"micromolsperliter","http://qudt.org/vocab/unit/MicroMOL-PER-L",1,"micromolsperliter","MicroMOL-PER-L"
"micromols per meter square per second",NA,1,"micromolspermetersquarepersecond","MicroMOL-PER-M-square-SEC"
"micromolphotonspersquaremeterpersecond",NA,1,"micromolphotonpersquaremeterpersecond","micromol-PHOT-PER-M2-SEC"
"micromolphotonspermetersquaredpersecond",NA,1,"micromolphotonpermeterquaredpersecond","micromol-PHOT-PER-M2-SEC"
"micromolpersquaremeterpersecond",NA,1,"micromolpersquaremeterpersecond","micromol-PER-M2-SEC"
"micromolpermetersquaredpersecond",NA,1,"micromolpermeterquaredpersecond","micromol-PER-M2-SEC"
"micromolespersecond","http://qudt.org/vocab/unit/MicroMOL-PER-SEC",1,"micromolepersecond","MicroMOL-PER-SEC"
"micromolespermol",NA,1,"micromolepermol","MicroMOL-PER-mol"
"micromolespermetersquarepersecond",NA,1,"micromolepermeterquarepersecond","MicroMOL-PER-M-quare-SEC"
"micromolespermetersquaredpersecond","http://qudt.org/vocab/unit/MicroMOL-PER-M2-SEC",1,"micromolepermeterquaredpersecond","MicroMOL-PER-M2-SEC"
"micromolespermetersquaredpersec",NA,1,"micromolepermeterquaredpersec","MicroMOL-PER-M2-sec"
"micromolesperliterperhour","http://qudt.org/vocab/unit/MicroMOL-PER-L-HR",1,"micromoleperliterperhour","MicroMOL-PER-L-HR"
"micromolespergrampersecond","http://qudt.org/vocab/unit/MicroMOL-PER-GM-SEC",1,"micromolepergrampersecond","MicroMOL-PER-GM-SEC"
"micromolespergram","http://qudt.org/vocab/unit/MicroMOL-PER-GM",1,"micromolepergram","MicroMOL-PER-GM"
"micromolesnpergramnoduleperhour",NA,1,"micromolenpergramnoduleperhour","MicroMOL-n-PER-GM-nodule-HR"
"micromolesnpergramnoduleperhour",NA,1,"micromolenpergramnoduleperhour","MicroMOL-n-PER-GM-nodule-HR"
"micromolesnassimilated/gnodule(dwt)/hr",NA,1,"micromolenassimilatedpergnodule(dwt)perhour","MicroMOL-nassimilated-PER-gnodule-HR"
"micromolesm-2s-1",NA,1,"micromolem-2s-1","MicroMOL-m2s-1"
"micromolesco2pergramnoduleperhour",NA,1,"micromoleco2pergramnoduleperhour","MicroMOL-co2-PER-GM-nodule-HR"
"micromolesco2pergramnoduleperhour",NA,1,"micromoleco2pergramnoduleperhour","MicroMOL-co2-PER-GM-nodule-HR"
"micromolesÃ¢Â perÃ¢Â squareÃ¢Â centimeterÃ¢Â perÃ¢Â second",NA,1,"micromoleÃ¢Â perÃ¢Â squareÃ¢Â centimeterÃ¢Â perÃ¢Â second","MicroMOL-Ã¢Â -PER-Ã¢Â squareÃ¢Â -CentiM-Ã¢Â -Ã¢Â -SEC"
"micromoles per milligram of substance",NA,1,"micromolepermilligramofsubstance","MicroMOL-PER-MilliGM-ofsubstance"
"micromoles per meter squared per second","http://qudt.org/vocab/unit/MicroMOL-PER-M2-SEC",1,"micromolepermetersquaredpersecond","MicroMOL-PER-M2-SEC"
"micromoles per meter squared per hour","http://qudt.org/vocab/unit/MicroMOL-PER-M2-HR",1,"micromolepermetersquaredperhour","MicroMOL-PER-M2-HR"
"micromoles per meter squared per day","http://qudt.org/vocab/unit/MicroMOL-PER-M2-DAY",1,"micromolepermetersquaredperday","MicroMOL-PER-M2-DAY"
"micromoles per liter of solution",NA,1,"micromoleperliterofsolution","MicroMOL-PER-L-ofsolution"
"micromoles per kilogram of seawater (umol/kg)",NA,1,"micromoleperkilogramofseawater(umolperkg)","MicroMOL-PER-KiloGM-ofseawater"
"micromoles per cubic centimeter",NA,1,"micromolepercubiccentimeter","MicroMOL-PER-CentiM3"
"micromoles of substance per sqaure meter per day",NA,1,"micromoleofsubstancepersqauremeterperday","MicroMOL-ofsubstance-PER-sqaure-M-DAY"
"micromoles of co2 per meter squared per second",NA,1,"micromoleofco2permetersquaredpersecond","MicroMOL-ofco2-PER-M2-SEC"
"micromolepersquaremeter","http://qudt.org/vocab/unit/MicroMOL-PER-M2",1,"micromolepersquaremeter","MicroMOL-PER-M2"
"micromolepersquarecentimeterperhour",NA,1,"micromolepersquarecentimeterperhour","MicroMOL-PER-CentiM2-HR"
"micromolepersquarecentimeter",NA,1,"micromolepersquarecentimeter","MicroMOL-PER-CentiM2"
"micromolepersecondpersquaremeter",NA,1,"micromolepersecondpersquaremeter","MicroMOL-PER-SEC-M2"
"micromolepermilligramperhour",NA,1,"micromolepermilligramperhour","MicroMOL-PER-MilliGM-HR"
"micromolepermetersquarepersecond",NA,1,"micromolepermeterquarepersecond","MicroMOL-PER-M-quare-SEC"
"micromolepermetersquaredperday","http://qudt.org/vocab/unit/MicroMOL-PER-M2-DAY",1,"micromolepermeterquaredperday","MicroMOL-PER-M2-DAY"
"micromolepermetersqauredpersecond",NA,1,"micromolepermeterqauredpersecond","MicroMOL-PER-M-qaured-SEC"
"micromolepermetercubed",NA,1,"micromolepermetercubed","MicroMOL-PER-M3"
"micromolepergramperday",NA,1,"micromolepergramperday","MicroMOL-PER-GM-DAY"
"micromolepercentimetersquaredperhourperphotonflux",NA,1,"micromolepercentimeterquaredperhourperphotonflux","MicroMOL-PER-CentiM2-HR-PHOT-f-LUX"
"micromolepercentimetersquaredperhour",NA,1,"micromolepercentimeterquaredperhour","MicroMOL-PER-CentiM2-HR"
"micromole per second","http://qudt.org/vocab/unit/MicroMOL-PER-SEC",1,"micromolepersecond","MicroMOL-PER-SEC"
"micromole per second","http://qudt.org/vocab/unit/MicroMOL-PER-SEC",1,"micromolepersecond","MicroMOL-PER-SEC"
"micromole of substrate broken down per hour per gram of dry soil",NA,1,"micromoleofsubstratebrokendownperhourpergramofdrysoil","MicroMOL-ofsubstratebrokendown-PER-HR-GM-ofdrysoil"
"micromole methane per square meter per day",NA,1,"micromolemethanepersquaremeterperday","MicroMOL-methane-PER-M2-DAY"
"micromole co2 per mole water",NA,1,"micromoleco2permolewater","MicroMOL-co2-PER-MOL-water"
"micromolarity = micromoles/liter",NA,1,"micromolarity=micromoleperliter","MicroMOL-PER-L-ity=-MicroMOL-L"
"micromolar (molesperliter)","http://qudt.org/vocab/unit/MicroMOL-PER-L",1,"micromolar(moleperliter)","MicroMOL-PER-L"
"micromol co2 per mol water (umol/mol)",NA,1,"micromolco2permolewater(umolpermol)","micromolco2-PER-MOL-water"
"micromohspercentimeter",NA,1,"micromohspercentimeter","micromohs-PER-CentiM"
"micromhos per centimeter (microsiemen per centimeter)",NA,1,"micromhospercentimeter(microsiemenpercentimeter)","micromhos-PER-CentiM"
"micrometercubedpermillimetersquared",NA,1,"micrometercubedpermillimeterquared","MicroM3-PER-MilliM2"
"microliterperliter","http://qudt.org/vocab/unit/MicroL-PER-L",1,"microliterperliter","MicroL-PER-L"
"microgramsphosphoruspertencentimetersquareexchangeresinpertenweeks",NA,1,"microgramphosphoruspertencentimeterquareexchangeresinpertenweeks","MicroGM-phosphor-MicroS-PER-ten-CentiM-quareexchangeresin-tenweeks"
"microgramspersquaremeterperhour",NA,1,"microgrampersquaremeterperhour","MicroGM-PER-M2-HR"
"microgramspersquaremeter per second",NA,1,"microgrampersquaremeterpersecond","MicroGM-PER-M2-SEC"
"microgramspersquaremeter per second",NA,1,"microgrampersquaremeterpersecond","MicroGM-PER-M2-SEC"
"microgramspershortshoot",NA,1,"microgrampershortshoot","MicroGM-PER-short-NUM"
"microgramspershortshoot",NA,1,"microgrampershortshoot","MicroGM-PER-short-NUM"
"microgramspermetercubed","http://qudt.org/vocab/unit/MicroGM-PER-M3",1,"microgrampermetercubed","MicroGM-PER-M3"
"microgramsperliterperminute",NA,1,"microgramperliterperminute","MicroGM-PER-L-MIN"
"microgramsperliterperhour","http://qudt.org/vocab/unit/MicroGM-PER-L-HR",1,"microgramperliterperhour","MicroGM-PER-L-HR"
"microgramspercentimetercubed",NA,1,"microgrampercentimetercubed","MicroGM-PER-CentiM3"
"microgramspercentimetercubed",NA,1,"microgrampercentimetercubed","MicroGM-PER-CentiM3"
"microgramsperbag",NA,1,"microgramperbag","MicroGM-PER-bag"
"microgramsnitrogenpertencentimetersquareexchangeresinpertenweeks",NA,1,"microgramnitrogenpertencentimeterquareexchangeresinpertenweeks","MicroGM-nitrogen-PER-ten-CentiM-quareexchangeresin-tenweeks"
"microgramsnitratepertencentimetersquareexchangeresinpertenweeks",NA,1,"microgramnitratepertencentimeterquareexchangeresinpertenweeks","MicroGM-nitrate-PER-ten-CentiM-quareexchangeresin-tenweeks"
"microgramsammoniumpertencentimetersquareexchangeresinpertenweeks",NA,1,"microgramammoniumpertencentimeterquareexchangeresinpertenweeks","MicroGM-ammonium-PER-ten-CentiM-quareexchangeresin-tenweeks"
"micrograms/l","http://qudt.org/vocab/unit/MicroGM-PER-L",1,"microgramperliter","MicroGM-PER-L"
"micrograms per squared centimeter",NA,1,"microgrampersquaredcentimeter","MicroGM-PER-squared-CentiM"
"micrograms per square centimeter per day",NA,1,"microgrampersquarecentimeterperday","MicroGM-PER-CentiM2-DAY"
"micrograms per milliliter","http://qudt.org/vocab/unit/MicroGM-PER-MilliL",1,"microgrampermilliliter","MicroGM-PER-MilliL"
"micrograms per gram per min",NA,1,"microgrampergramperminute","MicroGM-PER-GM-MIN"
"micrograms per g dry soil per day",NA,1,"microgrampergramdrysoilperday","MicroGM-PER-GM-drysoil-DAY"
"micrograms per g dry soil",NA,1,"microgrampergramdrysoil","MicroGM-PER-GM-drysoil"
"micrograms per g dry litter",NA,1,"microgrampergramdrylitter","MicroGM-PER-GM-drylitter"
"micrograms of carbon per meter cubed",NA,1,"microgramofcarbonpermetercubed","MicroGM-ofcarbon-PER-M3"
"micrograms of carbon per gram of dry soil",NA,1,"microgramofcarbonpergramofdrysoil","MicroGM-ofcarbon-PER-GM-ofdrysoil"
"micrograms of analyte per kilogram of soil per hour",NA,1,"microgramofanalyteperkilogramofsoilperhour","MicroGM-ofanalyte-PER-KiloGM-ofsoil-HR"
"micrograms / liter /minute",NA,1,"microgramperliterperminute","MicroGM-PER-L-MIN"
"microgrampertensquarecentimeterperburiallength",NA,1,"microgrampertensquarecentimeterperburiallength","MicroGM-PER-ten-CentiM2-buriallength"
"microgrampersquaremeterperday","http://qudt.org/vocab/unit/MicroGM-PER-M2-DAY",1,"microgrampersquaremeterperday","MicroGM-PER-M2-DAY"
"microgrampergrampercountperminute",NA,1,"microgrampergrampercountperminute","MicroGM-PER-GM-count-MIN"
"microgrampercountperminute",NA,1,"microgrampercountperminute","MicroGM-PER-count-MIN"
"microgrampercentimetersquared",NA,1,"microgrampercentimeterquared","MicroGM-PER-CentiM2"
"microgramp/gsoil",NA,1,"microgramppergsoil","MicroGM-p-PER-gsoil"
"microgramnpergramdrysoil",NA,1,"microgramnpergramdrysoil","MicroGM-n-PER-GM-drysoil"
"microgramc-co2pergramdrysoilperday",NA,1,"microgramc-co2pergramdrysoilperday","MicroGM-c-co2-PER-GM-drysoil-DAY"
"microgram per square centimete",NA,1,"microgrampersquarecentimete","MicroGM-PER-squarecentimete"
"microgram per liter","http://qudt.org/vocab/unit/MicroGM-PER-L",1,"microgramperliter","MicroGM-PER-L"
"microgram per l","http://qudt.org/vocab/unit/MicroGM-PER-L",1,"microgramperliter","MicroGM-PER-L"
"microgram per kilogram","http://qudt.org/vocab/unit/MicroGM-PER-KiloGM",1,"microgramperkilogram","MicroGM-PER-KiloGM"
"microgram per gram soil",NA,1,"microgrampergramsoil","MicroGM-PER-GM-soil"
"microgram per cubic meter","http://qudt.org/vocab/unit/MicroGM-PER-M3",1,"microgrampercubicmeter","MicroGM-PER-M3"
"microgram of nitrogen per gram of dry soil per hour",NA,1,"microgramofnitrogenpergramofdrysoilperhour","MicroGM-ofnitrogen-PER-GM-ofdrysoil-HR"
"microgram of nitrogen per gram of dry soil per day",NA,1,"microgramofnitrogenpergramofdrysoilperday","MicroGM-ofnitrogen-PER-GM-ofdrysoil-DAY"
"microgram of nitrogen per gram of dry soil",NA,1,"microgramofnitrogenpergramofdrysoil","MicroGM-ofnitrogen-PER-GM-ofdrysoil"
"microgram of carbon per squarecentimeters per hour",NA,1,"microgramofcarbonpersquarecentimeterperhour","MicroGM-ofcarbon-PER-CentiM2-HR"
"microgram of carbon per squarecentimeters per hour",NA,1,"microgramofcarbonpersquarecentimeterperhour","MicroGM-ofcarbon-PER-CentiM2-HR"
"microgram of carbon per gram of dry soil per day",NA,1,"microgramofcarbonpergramofdrysoilperday","MicroGM-ofcarbon-PER-GM-ofdrysoil-DAY"
"microgc/gafdm/hr",NA,1,"microgcpergafdmperhour","MicroGM-c-PER-gafdm-HR"
"microgc/gafdm/hr",NA,1,"microgcpergafdmperhour","MicroGM-c-PER-gafdm-HR"
"microgc/cm2/hr",NA,1,"microgcpercentimetersquaredperhour","MicroGM-c-PER-CentiM2-HR"
"microgc/cm2/hr",NA,1,"microgcpercentimetersquaredperhour","MicroGM-c-PER-CentiM2-HR"
"microg/microl",NA,1,"microgpermicrol","MicroGM-PER-microl"
"microequivalents per 100 g solution; concentration of charge (on dissolved ions). conversions must know the name of the ion; a single multiplier to si is not possible",NA,1,"microequivalentsper100gramsolution;concentrationofcharge(ondissolvedions).conversionsmustknowthenameoftheion;asinglemultipliertosiisnotpossible","microequivalents-PER-100-GM-solution;concentrationofcharge-NA-conversionsmustknowthenameoftheion;asinglemultipliertosiisnotpossible"
"microequivalents per 100 g solution",NA,1,"microequivalentsper100gramsolution","microequivalents-PER-100-GM-solution"
"microequivalent of ions per 100g of soil (?)",NA,1,"microequivalentofionsper100gofsoil(?)","microequivalentofions-PER-100gofsoil"
"microeinsteins","http://qudt.org/vocab/unit/MicroMOL",1,"microeinsteins","MicroMOL"
"microeinsteinpermetersquared","http://qudt.org/vocab/unit/MicroMOL-PER-M2",1,"microeinsteinpermeterquared","MicroMOL-PER-M2"
"microe/m2/s",NA,1,"microepermetersquaredpersecond","microe-PER-M2-SEC"
"microe/m2/s",NA,1,"microepermetersquaredpersecond","microe-PER-M2-SEC"
"microbecquerelpergram",NA,1,"microbecquerelpergram","MicroBQ-PER-GM"
"microbecquerelpergram",NA,1,"microbecquerelpergram","MicroBQ-PER-GM"
"microatmospheres (microatm)",NA,1,"microatmospheres(microatm)","MicroATM-s"
"microatmosphere = .101325 pascals",NA,1,"microatmosphere=.101325pascal","MicroATM-=-NA-101325-PA"
"micro moles per liter","http://qudt.org/vocab/unit/MicroMOL-PER-L",1,"micromoleperliter","MicroMOL-PER-L"
"micro moles","http://qudt.org/vocab/unit/MicroMOL",1,"micromole","MicroMOL"
"micro mole per liter","http://qudt.org/vocab/unit/MicroMOL-PER-L",1,"micromoleperliter","MicroMOL-PER-L"
"micro grams/10cm2/burial length",NA,1,"microgramper10cm2perburiallength","MicroGM-PER-10cm2-buriallength"
"micro grams per square centimeter",NA,1,"microgrampersquarecentimeter","MicroGM-PER-CentiM2"
"micro equivalents per kilogram",NA,1,"microequivalentsperkilogram","microequivalents-PER-KiloGM"
"micro-grams per milliliter","http://qudt.org/vocab/unit/MicroGM-PER-MilliL",1,"micro-grampermilliliter","MicroGM-PER-MilliL"
"micro-gram of eps per gram of dry soil",NA,1,"micro-gramofepspergramofdrysoil","MicroGM-ofeps-PER-GM-ofdrysoil"
"micro-atmosphere","http://qudt.org/vocab/unit/MicroATM",1,"micro-atmosphere","MicroATM"
"mho/cm",NA,1,"mhopercentimeter","mho-PER-CentiM"
"mgo_pct_wdx_fuse",NA,1,"mgopctwdxfuse","mgopctwdxfuse"
"mgo",NA,1,"mgo","mgo"
"mgnpergleafdrymass",NA,1,"mgnpergleafdrymass","mgn-PER-gleafdrymass"
"mgnpergleafdrymass",NA,1,"mgnpergleafdrymass","mgn-PER-gleafdrymass"
"mgnm2/h",NA,1,"mgnm2perhour","mgnm2-PER-HR"
"mgnm2/h",NA,1,"mgnm2perhour","mgnm2-PER-HR"
"mgn/m2/h",NA,1,"mgnpermetersquaredperhour","mgn-PER-M2-HR"
"mgn/m2/h",NA,1,"mgnpermetersquaredperhour","mgn-PER-M2-HR"
"mgn/gsoiln",NA,1,"mgnpergsoiln","mgn-PER-gsoiln"
"mgn/gdrysoil",NA,1,"mgnpergdrysoil","mgn-PER-gdrysoil"
"mgm-3",NA,1,"mgm-3","mgm3"
"mgm-3",NA,1,"mgm-3","mgm3"
"mgha-1",NA,1,"mgha-1","mgha-1"
"mgcpergleafdrymass",NA,1,"mgcpergleafdrymass","mgc-PER-gleafdrymass"
"mgcpergleafdrymass",NA,1,"mgcpergleafdrymass","mgc-PER-gleafdrymass"
"mgco2/sec/m2",NA,1,"mgco2persecondpermetersquared","mgco2-PER-SEC-M2"
"mgco2/sec/m2",NA,1,"mgco2persecondpermetersquared","mgco2-PER-SEC-M2"
"mgco2/sec/groot",NA,1,"mgco2persecondpergroot","mgco2-PER-SEC-groot"
"mgco2/sec/groot",NA,1,"mgco2persecondpergroot","mgco2-PER-SEC-groot"
"mgc/m2",NA,1,"mgcpermetersquared","mgc-PER-M2"
"mgc/m2",NA,1,"mgcpermetersquared","mgc-PER-M2"
"mgc/gsoilc/day",NA,1,"mgcpergsoilcperday","mgc-PER-gsoilc-DAY"
"mgc/gsoilc/day",NA,1,"mgcpergsoilcperday","mgc-PER-gsoilc-DAY"
"mgc/gsoilc",NA,1,"mgcpergsoilc","mgc-PER-gsoilc"
"mgc/gdrysoil/day",NA,1,"mgcpergdrysoilperday","mgc-PER-gdrysoil-DAY"
"mgc/gdrysoil/day",NA,1,"mgcpergdrysoilperday","mgc-PER-gdrysoil-DAY"
"mgc/gdrysoil",NA,1,"mgcpergdrysoil","mgc-PER-gdrysoil"
"mgbsaproteinprecipitatedpergleafdrymass",NA,1,"mgbsaproteinprecipitatedpergleafdrymass","mgbsaproteinprecipitated-PER-gleafdrymass"
"mgbsaproteinprecipitatedpergleafdrymass",NA,1,"mgbsaproteinprecipitatedpergleafdrymass","mgbsaproteinprecipitated-PER-gleafdrymass"
"mg_pct_wdx_fuse",NA,1,"mgpctwdxfuse","mgpctwdxfuse"
"mg_pct_es_sq",NA,1,"mgpctessq","mgpctessq"
"mg_pct_aes_st",NA,1,"mgpctaesst","mgpctaesst"
"mg/shoot",NA,1,"mgpershoot","MilliGM-PER-NUM"
"mg/m3 chl-a (defined by the factory calibration from seabird, the company that manufactured the ctd).",NA,1,"mgpermetercubedchl-a(definedbythefactorycalibrationfromseabird,thecompanythatmanufacturedthectd).","MilliGM-PER-M3-chl-a"
"mg/m2/day","http://qudt.org/vocab/unit/MilliGM-PER-M2-DAY",1,"mgpermetersquaredperday","MilliGM-PER-M2-DAY"
"mg/lofnh4+/gofrootbiomass",NA,1,"mgperlofnh4+pergofrootbiomass","MilliGM-PER-lofnh4+-gofrootbiomass"
"mg/l/g/hr",NA,1,"mgperliterpergramperhour","MilliGM-PER-L-GM-HR"
"mg/gdw",NA,1,"mgpergdw","MilliGM-PER-gdw"
"mg/dm3",NA,1,"mgperdm3","MilliGM-PER-dm3"
"mg wsoc / g soil",NA,1,"mgwsocpergramsoil","mgwsoc-PER-GM-soil"
"mg so4 / l",NA,1,"mgso4perliter","mgso4-PER-L"
"mg s/l",NA,1,"mgsecondperliter","MilliGM-SEC-PER-L"
"mg per liter","http://qudt.org/vocab/unit/MilliGM-PER-L",1,"mgperliter","MilliGM-PER-L"
"mg per g dry soil",NA,1,"mgpergramdrysoil","MilliGM-PER-GM-drysoil"
"mg p / l",NA,1,"mgpperliter","mgp-PER-L"
"mg organic matter / cm^2",NA,1,"mgorganicmatterperpercentimetersquared","mgorganicmatter-PER-CentiM2"
"mg org n / kg dry soil",NA,1,"mgorgnperkilogramdrysoil","mgorgn-PER-KiloGM-drysoil"
"mg org n / cm^2",NA,1,"mgorgnperpercentimetersquared","mgorgn-PER-CentiM2"
"mg org c / g dry soil",NA,1,"mgorgcpergramdrysoil","mgorgc-PER-GM-drysoil"
"mg org c / cm^2",NA,1,"mgorgcperpercentimetersquared","mgorgc-PER-CentiM2"
"mg opo4-p / l",NA,1,"mgopo4-pperliter","mgopo4-p-PER-L"
"mg non-mobile n / kg dry soil",NA,1,"mgnon-mobilenperkilogramdrysoil","mgnon-mobilen-PER-KiloGM-drysoil"
"mg non-mobile n / cm^2",NA,1,"mgnon-mobilenperpercentimetersquared","mgnon-mobilen-PER-CentiM2"
"mg non-mobile c / g dry soil",NA,1,"mgnon-mobilecpergramdrysoil","mgnon-mobilec-PER-GM-drysoil"
"mg non-mobile c / cm^2",NA,1,"mgnon-mobilecperpercentimetersquared","mgnon-mobilec-PER-CentiM2"
"mg no3-n / g soil",NA,1,"mgno3-npergramsoil","mgno3-n-PER-GM-soil"
"mg n/g soil",NA,1,"mgnpergramsoil","mgn-PER-GM-soil"
"mg n per mg sample",NA,1,"mgnpermgsample","mgn-PER-mgsample"
"mg n / g soil",NA,1,"mgnpergramsoil","mgn-PER-GM-soil"
"mg n / cm^2",NA,1,"mgnperpercentimetersquared","mgn-PER-CentiM2"
"mg mineral n / kg dry soil",NA,1,"mgmineralnperkilogramdrysoil","mgmineraln-PER-KiloGM-drysoil"
"mg mineral n / cm^2",NA,1,"mgmineralnperpercentimetersquared","mgmineraln-PER-CentiM2"
"mg l-1",NA,1,"mgl-1","mgl-1"
"mg hc/mg co2",NA,1,"mghcpermgco2","mghc-PER-mgco2"
"mg fine particles / cm^2",NA,1,"mgfineparticlesperpercentimetersquared","mgfineparticles-PER-CentiM2"
"mg co2/g toc",NA,1,"mgco2pergramtoc","mgco2-PER-GM-toc"
"mg cl / l",NA,1,"mgclperliter","mgcl-PER-L"
"mg c per mg sample",NA,1,"mgcpermgsample","mgc-PER-mgsample"
"mg c / g soil",NA,1,"mgcpergramsoil","mgc-PER-GM-soil"
"mg c / cm^2",NA,1,"mgcperpercentimetersquared","mgc-PER-CentiM2"
"mg active n / kg dry soil",NA,1,"mgactivenperkilogramdrysoil","mgactiven-PER-KiloGM-drysoil"
"mg active n / cm^2",NA,1,"mgactivenperpercentimetersquared","mgactiven-PER-CentiM2"
"mg active c / g dry soil",NA,1,"mgactivecpergramdrysoil","mgactivec-PER-GM-drysoil"
"mg active c / cm^2",NA,1,"mgactivecperpercentimetersquared","mgactivec-PER-CentiM2"
