"unit","ediScopeUses","ediPackageUses","ediTotalUses","neonScopeUses","neonPackageUses","neonTotalUses","dataoneTotalUses","orgList","numOrgs","totalScopes","totalPackages","TotalUses"
"iplover-r_and_d",0,0,0,0,0,0,1,"DataOne",1,0,0,1
"iplover-rachel_carson",0,0,0,0,0,0,1,"DataOne",1,0,0,1
"iplover-rhode_island",0,0,0,0,0,0,1,"DataOne",1,0,0,1
"iplover-tnc_virginia_coast",0,0,0,0,0,0,1,"DataOne",1,0,0,1
"ir",0,0,0,0,0,0,1,"DataOne",1,0,0,1
"ir_ppm_fa_ms",0,0,0,0,0,0,1,"DataOne",1,0,0,1
"iris",0,0,0,0,0,0,1,"DataOne",1,0,0,1
"iron pit",0,0,0,0,0,0,1,"DataOne",1,0,0,1
"irrigated croplands",0,0,0,0,0,0,1,"DataOne",1,0,0,1
"isabel s",0,0,0,0,0,0,1,"DataOne",1,0,0,1
"isbl96037",0,0,0,0,0,0,1,"DataOne",1,0,0,1
"isbl98017",0,0,0,0,0,0,1,"DataOne",1,0,0,1
"j booth",0,0,0,0,0,0,1,"DataOne",1,0,0,1
"j. chaytor",0,0,0,0,0,0,1,"DataOne",1,0,0,1
"j3",0,0,0,0,0,0,1,"DataOne",1,0,0,1
"java formation",0,0,0,0,0,0,1,"DataOne",1,0,0,1
"jchaytor",0,0,0,0,0,0,1,"DataOne",1,0,0,1
"jefferson",0,0,0,0,0,0,1,"DataOne",1,0,0,1
"jenkins creek, wa",0,0,0,0,0,0,1,"DataOne",1,0,0,1
"johnson/ jsl",0,0,0,0,0,0,1,"DataOne",1,0,0,1
"johnstonetal1994",0,0,0,0,0,0,1,"DataOne",1,0,0,1
"jonah",0,0,0,0,0,0,1,"DataOne",1,0,0,1
"juga spp.",0,0,0,0,0,0,1,"DataOne",1,0,0,1
"juga spp. observed at the sample site",0,0,0,0,0,0,1,"DataOne",1,0,0,1
"julian day data were collected where julian day is the integer number representing the interval of time in days since january 1 of the year of collection.",0,0,0,0,0,0,1,"DataOne",1,0,0,1
"julian day.",0,0,0,0,0,0,1,"DataOne",1,0,0,1
"july",0,0,0,0,0,0,1,"DataOne",1,0,0,1
"jumping",0,0,0,0,0,0,1,"DataOne",1,0,0,1
"juni",0,0,0,0,0,0,1,"DataOne",1,0,0,1
"juvenile steelhead (rbt) *",0,0,0,0,0,0,1,"DataOne",1,0,0,1
"juvenile steelhead (rbt) 2",0,0,0,0,0,0,1,"DataOne",1,0,0,1
"juvenile steelhead (rbt) 3",0,0,0,0,0,0,1,"DataOne",1,0,0,1
"juvenile tailed frog (jtf) 14",0,0,0,0,0,0,1,"DataOne",1,0,0,1
"juvenile tailed frog (jtf) 16",0,0,0,0,0,0,1,"DataOne",1,0,0,1
"juvenile tailed frog (jtf) 3",0,0,0,0,0,0,1,"DataOne",1,0,0,1
"juvenile tailed frog (jtf) 5",0,0,0,0,0,0,1,"DataOne",1,0,0,1
"juvenile tailed frogs (jtf) 5",0,0,0,0,0,0,1,"DataOne",1,0,0,1
"juvenile tailed frogs (jtf) 6",0,0,0,0,0,0,1,"DataOne",1,0,0,1
"k/d",0,0,0,0,0,0,1,"DataOne",1,0,0,1
"k/m",0,0,0,0,0,0,1,"DataOne",1,0,0,1
"k_pct_aes_st",0,0,0,0,0,0,1,"DataOne",1,0,0,1
"k_pct_na_lc",0,0,0,0,0,0,1,"DataOne",1,0,0,1
"k_pct_wdx_fuse",0,0,0,0,0,0,1,"DataOne",1,0,0,1
"k1",0,0,0,0,0,0,1,"DataOne",1,0,0,1
"k2o",0,0,0,0,0,0,1,"DataOne",1,0,0,1
"k2o_pct_wdx_fuse",0,0,0,0,0,0,1,"DataOne",1,0,0,1
"kamchatskiy kray",0,0,0,0,0,0,1,"DataOne",1,0,0,1
"kasatochi",0,0,0,0,0,0,1,"DataOne",1,0,0,1
"kasatochi island",0,0,0,0,0,0,1,"DataOne",1,0,0,1
"katmmbm2012",0,0,0,0,0,0,1,"DataOne",1,0,0,1
"katmmbm2013",0,0,0,0,0,0,1,"DataOne",1,0,0,1
"katmmbm2014",0,0,0,0,0,0,1,"DataOne",1,0,0,1
"katmmbm2015",0,0,0,0,0,0,1,"DataOne",1,0,0,1
"katmmbm2016",0,0,0,0,0,0,1,"DataOne",1,0,0,1
"kayak",0,0,0,0,0,0,1,"DataOne",1,0,0,1
"kefjmbm2012",0,0,0,0,0,0,1,"DataOne",1,0,0,1
"kefjmbm2013",0,0,0,0,0,0,1,"DataOne",1,0,0,1
"kefjmbm2014",0,0,0,0,0,0,1,"DataOne",1,0,0,1
"kefjmbm2015",0,0,0,0,0,0,1,"DataOne",1,0,0,1
"kefjmbm2016",0,0,0,0,0,0,1,"DataOne",1,0,0,1
"kenai fjords",0,0,0,0,0,0,1,"DataOne",1,0,0,1
"kentucky",0,0,0,0,0,0,1,"DataOne",1,0,0,1
"kern-02",0,0,0,0,0,0,1,"DataOne",1,0,0,1
"kern-03",0,0,0,0,0,0,1,"DataOne",1,0,0,1
"kernville",0,0,0,0,0,0,1,"DataOne",1,0,0,1
"keyser limestone",0,0,0,0,0,0,1,"DataOne",1,0,0,1
"kf",0,0,0,0,0,0,1,"DataOne",1,0,0,1
"kg/ha/yr",0,0,0,0,0,0,1,"DataOne",1,0,0,1
"kilograms",0,0,0,0,0,0,1,"DataOne",1,0,0,1
"kilohertz (khz)",0,0,0,0,0,0,1,"DataOne",1,0,0,1
"kilojoulepermeter",0,0,0,0,0,0,1,"DataOne",1,0,0,1
"kilojoulesperday",0,0,0,0,0,0,1,"DataOne",1,0,0,1
"kilojoulesperhour",0,0,0,0,0,0,1,"DataOne",1,0,0,1
"kilometers per hour",0,0,0,0,0,0,1,"DataOne",1,0,0,1
"kimu",0,0,0,0,0,0,1,"DataOne",1,0,0,1
"king-30",0,0,0,0,0,0,1,"DataOne",1,0,0,1
"kipnuk, y-k delta",0,0,0,0,0,0,1,"DataOne",1,0,0,1
"kl",0,0,0,0,0,0,1,"DataOne",1,0,0,1
"klam-05",0,0,0,0,0,0,1,"DataOne",1,0,0,1
"klam-25",0,0,0,0,0,0,1,"DataOne",1,0,0,1
"km/d",0,0,0,0,0,0,1,"DataOne",1,0,0,1
"km2/d",0,0,0,0,0,0,1,"DataOne",1,0,0,1
"kmno4-h2so4-hf",0,0,0,0,0,0,1,"DataOne",1,0,0,1
"kn, sp",0,0,0,0,0,0,1,"DataOne",1,0,0,1
"knebel",0,0,0,0,0,0,1,"DataOne",1,0,0,1
"knorr",0,0,0,0,0,0,1,"DataOne",1,0,0,1
"knots",0,0,0,0,0,0,1,"DataOne",1,0,0,1
"kodiak island",0,0,0,0,0,0,1,"DataOne",1,0,0,1
"koniuji",0,0,0,0,0,0,1,"DataOne",1,0,0,1
"kotlik, y-k delta",0,0,0,0,0,0,1,"DataOne",1,0,0,1
"kwethluk, y-k delta",0,0,0,0,0,0,1,"DataOne",1,0,0,1
"kz",0,0,0,0,0,0,1,"DataOne",1,0,0,1
"kz35",0,0,0,0,0,0,1,"DataOne",1,0,0,1
"l/min",0,0,0,0,0,0,1,"DataOne",1,0,0,1
"la",0,0,0,0,0,0,1,"DataOne",1,0,0,1
"la, au, y, s, n, t",0,0,0,0,0,0,1,"DataOne",1,0,0,1
"la,ae,w,x,ab,au, v, t",0,0,0,0,0,0,1,"DataOne",1,0,0,1
"la_ppm_edx",0,0,0,0,0,0,1,"DataOne",1,0,0,1
"la_ppm_es_sq",0,0,0,0,0,0,1,"DataOne",1,0,0,1
"la_ppm_ms_st",0,0,0,0,0,0,1,"DataOne",1,0,0,1
"la_ppm_ms_st_ree",0,0,0,0,0,0,1,"DataOne",1,0,0,1
"la_ppm_na_lc",0,0,0,0,0,0,1,"DataOne",1,0,0,1
"la_ppm_na_sc",0,0,0,0,0,0,1,"DataOne",1,0,0,1
"la70",0,0,0,0,0,0,1,"DataOne",1,0,0,1
"label without symbol. point placed at center of label and feature type inferred from label.",0,0,0,0,0,0,1,"DataOne",1,0,0,1
"label without symbol. point placed on building symbol and feature type inferred from label.",0,0,0,0,0,0,1,"DataOne",1,0,0,1
"labeled as <ftr_type> on 19xx map.",0,0,0,0,0,0,1,"DataOne",1,0,0,1
"labeled as abandoned.",0,0,0,0,0,0,1,"DataOne",1,0,0,1
"labeled as active.",0,0,0,0,0,0,1,"DataOne",1,0,0,1
"labeled as inactive.",0,0,0,0,0,0,1,"DataOne",1,0,0,1
"laca3",0,0,0,0,0,0,1,"DataOne",1,0,0,1
"lake",0,0,0,0,0,0,1,"DataOne",1,0,0,1
"lake athabasca",0,0,0,0,0,0,1,"DataOne",1,0,0,1
"lake name",0,0,0,0,0,0,1,"DataOne",1,0,0,1
"lamar national fish hatchery (pa)",0,0,0,0,0,0,1,"DataOne",1,0,0,1
"lamont peak",0,0,0,0,0,0,1,"DataOne",1,0,0,1
"landfast ice",0,0,0,0,0,0,1,"DataOne",1,0,0,1
"langara island",0,0,0,0,0,0,1,"DataOne",1,0,0,1
"largemouth bass",0,0,0,0,0,0,1,"DataOne",1,0,0,1
"larsen and gaudette 2002",0,0,0,0,0,0,1,"DataOne",1,0,0,1
"larsen03",0,0,0,0,0,0,1,"DataOne",1,0,0,1
"larva",0,0,0,0,0,0,1,"DataOne",1,0,0,1
"last shot along sub-bottom trackline.",0,0,0,0,0,0,1,"DataOne",1,0,0,1
"latest possible",0,0,0,0,0,0,1,"DataOne",1,0,0,1
"latitudelongitude",0,0,0,0,0,0,1,"DataOne",1,0,0,1
"latrine",0,0,0,0,0,0,1,"DataOne",1,0,0,1
"laurel oak",0,0,0,0,0,0,1,"DataOne",1,0,0,1
"laurentian",0,0,0,0,0,0,1,"DataOne",1,0,0,1
"laying",0,0,0,0,0,0,1,"DataOne",1,0,0,1
"lbcap",0,0,0,0,0,0,1,"DataOne",1,0,0,1
"lbdo",0,0,0,0,0,0,1,"DataOne",1,0,0,1
"lbm",0,0,0,0,0,0,1,"DataOne",1,0,0,1
"lbs shoal",0,0,0,0,0,0,1,"DataOne",1,0,0,1
"lc152",0,0,0,0,0,0,1,"DataOne",1,0,0,1
"lcfw",0,0,0,0,0,0,1,"DataOne",1,0,0,1
"ldeo",0,0,0,0,0,0,1,"DataOne",1,0,0,1
"le54",0,0,0,0,0,0,1,"DataOne",1,0,0,1
"leach pond",0,0,0,0,0,0,1,"DataOne",1,0,0,1
"legal-closed, legal-open, not legal, potential legal.",0,0,0,0,0,0,1,"DataOne",1,0,0,1
"lepomis gibbosus",0,0,0,0,0,0,1,"DataOne",1,0,0,1
"lepomis macrochirus",0,0,0,0,0,0,1,"DataOne",1,0,0,1
"lesc",0,0,0,0,0,0,1,"DataOne",1,0,0,1
"let the madness begin",0,0,0,0,0,0,1,"DataOne",1,0,0,1
"levee-lineated",0,0,0,0,0,0,1,"DataOne",1,0,0,1
"levee-low-backscatter",0,0,0,0,0,0,1,"DataOne",1,0,0,1
"levee-mottled",0,0,0,0,0,0,1,"DataOne",1,0,0,1
"lewis",0,0,0,0,0,0,1,"DataOne",1,0,0,1
"lewis ford",0,0,0,0,0,0,1,"DataOne",1,0,0,1
"lf",0,0,0,0,0,0,1,"DataOne",1,0,0,1
"lg17-006-s1",0,0,0,0,0,0,1,"DataOne",1,0,0,1
"lh21",0,0,0,0,0,0,1,"DataOne",1,0,0,1
"li",0,0,0,0,0,0,1,"DataOne",1,0,0,1
"li_ppm_aes_st",0,0,0,0,0,0,1,"DataOne",1,0,0,1
"libo2-li2b4o7 fusion",0,0,0,0,0,0,1,"DataOne",1,0,0,1
"libo2 fusion",0,0,0,0,0,0,1,"DataOne",1,0,0,1
"licking creek limestone",0,0,0,0,0,0,1,"DataOne",1,0,0,1
"light rain",0,0,0,0,0,0,1,"DataOne",1,0,0,1
"light wind",0,0,0,0,0,0,1,"DataOne",1,0,0,1
"light wind; rain; thunder",0,0,0,0,0,0,1,"DataOne",1,0,0,1
"lightcroptree",0,0,0,0,0,0,1,"DataOne",1,0,0,1
"lignite",0,0,0,0,0,0,1,"DataOne",1,0,0,1
"lignite pit",0,0,0,0,0,0,1,"DataOne",1,0,0,1
"limnephilidae",0,0,0,0,0,0,1,"DataOne",1,0,0,1
"lincoln",0,0,0,0,0,0,1,"DataOne",1,0,0,1
"line-0001",0,0,0,0,0,0,1,"DataOne",1,0,0,1
"line-0002",0,0,0,0,0,0,1,"DataOne",1,0,0,1
"line-0003",0,0,0,0,0,0,1,"DataOne",1,0,0,1
"line-0004",0,0,0,0,0,0,1,"DataOne",1,0,0,1
"line-0005",0,0,0,0,0,0,1,"DataOne",1,0,0,1
"line name",0,0,0,0,0,0,1,"DataOne",1,0,0,1
"line segment",0,0,0,0,0,0,1,"DataOne",1,0,0,1
"liters/minute",0,0,0,0,0,0,1,"DataOne",1,0,0,1
"liters/second",0,0,0,0,0,0,1,"DataOne",1,0,0,1
"litterfall",0,0,0,0,0,0,1,"DataOne",1,0,0,1
"little quilcene",0,0,0,0,0,0,1,"DataOne",1,0,0,1
"liver sample",0,0,0,0,0,0,1,"DataOne",1,0,0,1
"lj33",0,0,0,0,0,0,1,"DataOne",1,0,0,1
"lkat",0,0,0,0,0,0,1,"DataOne",1,0,0,1
"lm50",0,0,0,0,0,0,1,"DataOne",1,0,0,1
"loblolly pine",0,0,0,0,0,0,1,"DataOne",1,0,0,1
"local time in mdt (hour:minute)",0,0,0,0,0,0,1,"DataOne",1,0,0,1
"log hectares",0,0,0,0,0,0,1,"DataOne",1,0,0,1
"log of cubic meters",0,0,0,0,0,0,1,"DataOne",1,0,0,1
"log of cubic meters per second",0,0,0,0,0,0,1,"DataOne",1,0,0,1
"log of days",0,0,0,0,0,0,1,"DataOne",1,0,0,1
"log of kilograms per year",0,0,0,0,0,0,1,"DataOne",1,0,0,1
"log of meters",0,0,0,0,0,0,1,"DataOne",1,0,0,1
"log10 of kilopascals",0,0,0,0,0,0,1,"DataOne",1,0,0,1
"loi",0,0,0,0,0,0,1,"DataOne",1,0,0,1
"loi_pct_gv",0,0,0,0,0,0,1,"DataOne",1,0,0,1
"long bay",0,0,0,0,0,0,1,"DataOne",1,0,0,1
"longnose dace",0,0,0,0,0,0,1,"DataOne",1,0,0,1
"low-medium",0,0,0,0,0,0,1,"DataOne",1,0,0,1
"low heat load",0,0,0,0,0,0,1,"DataOne",1,0,0,1
"lowbkstr",0,0,0,0,0,0,1,"DataOne",1,0,0,1
"lowduneforedune",0,0,0,0,0,0,1,"DataOne",1,0,0,1
"lower 95% mean",0,0,0,0,0,0,1,"DataOne",1,0,0,1
"lower devonian",0,0,0,0,0,0,1,"DataOne",1,0,0,1
"lower mississippian",0,0,0,0,0,0,1,"DataOne",1,0,0,1
"lowflow",0,0,0,0,0,0,1,"DataOne",1,0,0,1
"loyalhanna limestone member",0,0,0,0,0,0,1,"DataOne",1,0,0,1
"ls",0,0,0,0,0,0,1,"DataOne",1,0,0,1
"lsu",0,0,0,0,0,0,1,"DataOne",1,0,0,1
"lsumz",0,0,0,0,0,0,1,"DataOne",1,0,0,1
"ltdu",0,0,0,0,0,0,1,"DataOne",1,0,0,1
"lu",0,0,0,0,0,0,1,"DataOne",1,0,0,1
"lu_ppm_ms_st",0,0,0,0,0,0,1,"DataOne",1,0,0,1
"lu_ppm_na_lc",0,0,0,0,0,0,1,"DataOne",1,0,0,1
"lu_ppm_na_sc",0,0,0,0,0,0,1,"DataOne",1,0,0,1
"lulu",0,0,0,0,0,0,1,"DataOne",1,0,0,1
"luxilis cornutus",0,0,0,0,0,0,1,"DataOne",1,0,0,1
"lx",0,0,0,0,0,0,1,"DataOne",1,0,0,1
"lx58",0,0,0,0,0,0,1,"DataOne",1,0,0,1
"lymnaeidae",0,0,0,0,0,0,1,"DataOne",1,0,0,1
"lynu",0,0,0,0,0,0,1,"DataOne",1,0,0,1
"m bothner",0,0,0,0,0,0,1,"DataOne",1,0,0,1
"m tenbrink",0,0,0,0,0,0,1,"DataOne",1,0,0,1
"m/f",0,0,0,0,0,0,1,"DataOne",1,0,0,1
"m3/hr",0,0,0,0,0,0,1,"DataOne",1,0,0,1
"m3/second",0,0,0,0,0,0,1,"DataOne",1,0,0,1
"ma",0,0,0,0,0,0,1,"DataOne",1,0,0,1
"ma",0,0,0,0,0,0,1,"DataOne",1,0,0,1
"mackenzie river valley",0,0,0,0,0,0,1,"DataOne",1,0,0,1
"macrozooplankton",0,0,0,0,0,0,1,"DataOne",1,0,0,1
"macv",0,0,0,0,0,0,1,"DataOne",1,0,0,1
"mafic dikes",0,0,0,0,0,0,1,"DataOne",1,0,0,1
"mag nail",0,0,0,0,0,0,1,"DataOne",1,0,0,1
"mahantango formation",0,0,0,0,0,0,1,"DataOne",1,0,0,1
"male",0,0,0,0,0,0,1,"DataOne",1,0,0,1
"male",0,0,0,0,0,0,1,"DataOne",1,0,0,1
"mallotus villosus",0,0,0,0,0,0,1,"DataOne",1,0,0,1
"mammal",0,0,0,0,0,0,1,"DataOne",1,0,0,1
"mamu",0,0,0,0,0,0,1,"DataOne",1,0,0,1
"manheim",0,0,0,0,0,0,1,"DataOne",1,0,0,1
"manual entry",0,0,0,0,0,0,1,"DataOne",1,0,0,1
"maple",0,0,0,0,0,0,1,"DataOne",1,0,0,1
"marblemount hatchery, wa",0,0,0,0,0,0,1,"DataOne",1,0,0,1
"marcellus shale",0,0,0,0,0,0,1,"DataOne",1,0,0,1
"marcus hanna",0,0,0,0,0,0,1,"DataOne",1,0,0,1
"margined madtom",0,0,0,0,0,0,1,"DataOne",1,0,0,1
"marine",0,0,0,0,0,0,1,"DataOne",1,0,0,1
"marine operations facility: mof",0,0,0,0,0,0,1,"DataOne",1,0,0,1
"marine09.14c",0,0,0,0,0,0,1,"DataOne",1,0,0,1
"marion dufrense",0,0,0,0,0,0,1,"DataOne",1,0,0,1
"marsh",0,0,0,0,0,0,1,"DataOne",1,0,0,1
"marsh",0,0,0,0,0,0,1,"DataOne",1,0,0,1
"marsh deposit",0,0,0,0,0,0,1,"DataOne",1,0,0,1
"martinsburg formation",0,0,0,0,0,0,1,"DataOne",1,0,0,1
"maryland",0,0,0,0,0,0,1,"DataOne",1,0,0,1
"mass bay",0,0,0,0,0,0,1,"DataOne",1,0,0,1
"mass ratio",0,0,0,0,0,0,1,"DataOne",1,0,0,1
"maurer observed",0,0,0,0,0,0,1,"DataOne",1,0,0,1
"max fluvial occupation, exit and paradise creek",0,0,0,0,0,0,1,"DataOne",1,0,0,1
"maxbh",0,0,0,0,0,0,1,"DataOne",1,0,0,1
"may",0,0,0,0,0,0,1,"DataOne",1,0,0,1
"maybe",0,0,0,0,0,0,1,"DataOne",1,0,0,1
"mcarthur",0,0,0,0,0,0,1,"DataOne",1,0,0,1
"mckenzie formation",0,0,0,0,0,0,1,"DataOne",1,0,0,1
"mcz",0,0,0,0,0,0,1,"DataOne",1,0,0,1
"meadows",0,0,0,0,0,0,1,"DataOne",1,0,0,1
"mean",0,0,0,0,0,0,1,"DataOne",1,0,0,1
"med",0,0,0,0,0,0,1,"DataOne",1,0,0,1
"medium",0,0,0,0,0,0,1,"DataOne",1,0,0,1
"medium gravel",0,0,0,0,0,0,1,"DataOne",1,0,0,1
"medium sand",0,0,0,0,0,0,1,"DataOne",1,0,0,1
"medium sand",0,0,0,0,0,0,1,"DataOne",1,0,0,1
"medium sand and gravel",0,0,0,0,0,0,1,"DataOne",1,0,0,1
"megan miller",0,0,0,0,0,0,1,"DataOne",1,0,0,1
"megaripples and ripples",0,0,0,0,0,0,1,"DataOne",1,0,0,1
"meisburger1976",0,0,0,0,0,0,1,"DataOne",1,0,0,1
"mer-11",0,0,0,0,0,0,1,"DataOne",1,0,0,1
"merging",0,0,0,0,0,0,1,"DataOne",1,0,0,1
"metal scoop",0,0,0,0,0,0,1,"DataOne",1,0,0,1
"meters below mllw",0,0,0,0,0,0,1,"DataOne",1,0,0,1
"meters below sea level",0,0,0,0,0,0,1,"DataOne",1,0,0,1
"meters relative to international great lakes datum, 1985 (igld 85)",0,0,0,0,0,0,1,"DataOne",1,0,0,1
"meters/year",0,0,0,0,0,0,1,"DataOne",1,0,0,1
"meters2",0,0,0,0,0,0,1,"DataOne",1,0,0,1
"mg co2/g toc",0,0,0,0,0,0,1,"DataOne",1,0,0,1
"mg hc/mg co2",0,0,0,0,0,0,1,"DataOne",1,0,0,1
"mg l-1",0,0,0,0,0,0,1,"DataOne",1,0,0,1
"mg per g dry soil",0,0,0,0,0,0,1,"DataOne",1,0,0,1
"mg per liter",0,0,0,0,0,0,1,"DataOne",1,0,0,1
"mg/dm3",0,0,0,0,0,0,1,"DataOne",1,0,0,1
"mg/m3 chl-a (defined by the factory calibration from seabird, the company that manufactured the ctd).",0,0,0,0,0,0,1,"DataOne",1,0,0,1
"mg_pct_aes_st",0,0,0,0,0,0,1,"DataOne",1,0,0,1
"mg_pct_es_sq",0,0,0,0,0,0,1,"DataOne",1,0,0,1
"mg_pct_wdx_fuse",0,0,0,0,0,0,1,"DataOne",1,0,0,1
"mgo",0,0,0,0,0,0,1,"DataOne",1,0,0,1
"mgo_pct_wdx_fuse",0,0,0,0,0,0,1,"DataOne",1,0,0,1
"micro-grams per milliliter",0,0,0,0,0,0,1,"DataOne",1,0,0,1
"micro moles",0,0,0,0,0,0,1,"DataOne",1,0,0,1
"microatmospheres (microatm)",0,0,0,0,0,0,1,"DataOne",1,0,0,1
"microeinsteins",0,0,0,0,0,0,1,"DataOne",1,0,0,1
"microg/microl",0,0,0,0,0,0,1,"DataOne",1,0,0,1
"microgram per cubic meter",0,0,0,0,0,0,1,"DataOne",1,0,0,1
"microgram per kilogram",0,0,0,0,0,0,1,"DataOne",1,0,0,1
"microgram per l",0,0,0,0,0,0,1,"DataOne",1,0,0,1
"microgram per liter",0,0,0,0,0,0,1,"DataOne",1,0,0,1
"micrograms per g dry litter",0,0,0,0,0,0,1,"DataOne",1,0,0,1
"micrograms per g dry soil",0,0,0,0,0,0,1,"DataOne",1,0,0,1
"micrograms per g dry soil per day",0,0,0,0,0,0,1,"DataOne",1,0,0,1
"micrograms/l",0,0,0,0,0,0,1,"DataOne",1,0,0,1
"microgramspersquaremeterperday",0,0,0,0,0,0,1,"DataOne",1,0,0,1
"micromole methane per square meter per day",0,0,0,0,0,0,1,"DataOne",1,0,0,1
"micromolepermetersquarepersecond",0,0,0,0,0,0,1,"DataOne",1,0,0,1
"micromoles of co2 per meter squared per second",0,0,0,0,0,0,1,"DataOne",1,0,0,1
"micromoles per kilogram of seawater (umol/kg)",0,0,0,0,0,0,1,"DataOne",1,0,0,1
"microns",0,0,0,0,0,0,1,"DataOne",1,0,0,1
"microperus salmoides",0,0,0,0,0,0,1,"DataOne",1,0,0,1
"micropterus dolomieu",0,0,0,0,0,0,1,"DataOne",1,0,0,1
"microseaboss (a.k.a. seabosspro, a.k.a. goproseaboss)",0,0,0,0,0,0,1,"DataOne",1,0,0,1
"microseimens",0,0,0,0,0,0,1,"DataOne",1,0,0,1
"microsiemens per centimeter (us/cm)",0,0,0,0,0,0,1,"DataOne",1,0,0,1
"microzooplankton",0,0,0,0,0,0,1,"DataOne",1,0,0,1
"middle devonian",0,0,0,0,0,0,1,"DataOne",1,0,0,1
"middle ordovician",0,0,0,0,0,0,1,"DataOne",1,0,0,1
"middle/upper devonian",0,0,0,0,0,0,1,"DataOne",1,0,0,1
"middleton island, alaska",0,0,0,0,0,0,1,"DataOne",1,0,0,1
"miillion cubic meters",0,0,0,0,0,0,1,"DataOne",1,0,0,1
"miles",0,0,0,0,0,0,1,"DataOne",1,0,0,1
"miles per hour",0,0,0,0,0,0,1,"DataOne",1,0,0,1
"miles per hour (mph)",0,0,0,0,0,0,1,"DataOne",1,0,0,1
"miligrampermililiter",0,0,0,0,0,0,1,"DataOne",1,0,0,1
"miligramspersquaremeterperday",0,0,0,0,0,0,1,"DataOne",1,0,0,1
"milivolts",0,0,0,0,0,0,1,"DataOne",1,0,0,1
"mill river (nh)",0,0,0,0,0,0,1,"DataOne",1,0,0,1
"mill site",0,0,0,0,0,0,1,"DataOne",1,0,0,1
"millboro shale",0,0,0,0,0,0,1,"DataOne",1,0,0,1
"millgrams of hydrocarbon per gram of rock",0,0,0,0,0,0,1,"DataOne",1,0,0,1
"milliamps",0,0,0,0,0,0,1,"DataOne",1,0,0,1
"milligram of methane per square meter per day",0,0,0,0,0,0,1,"DataOne",1,0,0,1
"milligram per liter",0,0,0,0,0,0,1,"DataOne",1,0,0,1
"milligrams / liter (mg/l)",0,0,0,0,0,0,1,"DataOne",1,0,0,1
"milligrams carbon per liter (mg c/l)",0,0,0,0,0,0,1,"DataOne",1,0,0,1
"milligrams of [s1] hydrocarbons milligrams of [s1 + s2] hydrocarbons",0,0,0,0,0,0,1,"DataOne",1,0,0,1
"milligrams of carbon dioxide [100 x s3] per gram of total organic carbon",0,0,0,0,0,0,1,"DataOne",1,0,0,1
"milligrams of hydrocarbons [100 x s2] per gram of total organic carbon",0,0,0,0,0,0,1,"DataOne",1,0,0,1
"milligrams per gram of oil (mg/g of oil)",0,0,0,0,0,0,1,"DataOne",1,0,0,1
"milligrams per kilogram, or equivalently parts per million",0,0,0,0,0,0,1,"DataOne",1,0,0,1
"milligrams per liter (mg/l), < indicates value was less than the laboratory reporting level",0,0,0,0,0,0,1,"DataOne",1,0,0,1
"milligrams per liter (mg/l), value of -9999 denotes data not collected",0,0,0,0,0,0,1,"DataOne",1,0,0,1
"milligrams per liter carbon",0,0,0,0,0,0,1,"DataOne",1,0,0,1
"milligrams per milliliter",0,0,0,0,0,0,1,"DataOne",1,0,0,1
"milligrams/per gram of oil (mg/g oil)",0,0,0,0,0,0,1,"DataOne",1,0,0,1
"milligramsmethanepersquaremeterperday",0,0,0,0,0,0,1,"DataOne",1,0,0,1
"milligramspergrampermole",0,0,0,0,0,0,1,"DataOne",1,0,0,1
"milliliterpersecond",0,0,0,0,0,0,1,"DataOne",1,0,0,1
"millimeter",0,0,0,0,0,0,1,"DataOne",1,0,0,1
"millimeterpercentimetersquared",0,0,0,0,0,0,1,"DataOne",1,0,0,1
"millimeterpercentimetersquaredperday",0,0,0,0,0,0,1,"DataOne",1,0,0,1
"millimole of carbon dioxide per square meter per day, using an assumed carbon dioxide concentration in air of 407 parts per million",0,0,0,0,0,0,1,"DataOne",1,0,0,1
"millimoles of carbon dioxide per square meter per day, using corrected carbon dioxide concentration value in air; no data value 999 corresponds to intervals when air co2 values were set to 999 because they were out of range (e.g., in the smokestack emissions)",0,0,0,0,0,0,1,"DataOne",1,0,0,1
"millimoles per square meter per second",0,0,0,0,0,0,1,"DataOne",1,0,0,1
"millimolespermetersquarepersecond",0,0,0,0,0,0,1,"DataOne",1,0,0,1
"million acre feet",0,0,0,0,0,0,1,"DataOne",1,0,0,1
"million barrels / km2",0,0,0,0,0,0,1,"DataOne",1,0,0,1
"million barrels of ngl / km2",0,0,0,0,0,0,1,"DataOne",1,0,0,1
"million pounds",0,0,0,0,0,0,1,"DataOne",1,0,0,1
"milliseconds",0,0,0,0,0,0,1,"DataOne",1,0,0,1
"milliwattpermetersquaredpersteradianpersecond",0,0,0,0,0,0,1,"DataOne",1,0,0,1
"mind the gap",0,0,0,0,0,0,1,"DataOne",1,0,0,1
"mine dump",0,0,0,0,0,0,1,"DataOne",1,0,0,1
"mine shaft",0,0,0,0,0,0,1,"DataOne",1,0,0,1
"mini seaboss w/ 0.1 sq m van veen grab",0,0,0,0,0,0,1,"DataOne",1,0,0,1
"minnow trap",0,0,0,0,0,0,1,"DataOne",1,0,0,1
"minute of the day",0,0,0,0,0,0,1,"DataOne",1,0,0,1
"minutes (0 - 60)",0,0,0,0,0,0,1,"DataOne",1,0,0,1
"minutes (0 - 60)",0,0,0,0,0,0,1,"DataOne",1,0,0,1
